ascending,descending,momentum_pct,reversion_pct,spike_acc,total_num
0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,3.0
0.5,0.5,1.0,0.0,1.0,2.0
0.0,1.0,0.0,1.0,0.5,2.0
0.2857142857142857,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.5714285714285714,7.0
0.14285714285714285,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.5714285714285714,7.0
0.2857142857142857,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.2857142857142857,7.0
0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0
0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.7142857142857143,7.0
0.5,0.5,0.8333333333333334,0.16666666666666666,0.6666666666666666,6.0
0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,3.0
0.375,0.625,0.625,0.375,0.75,8.0
0.75,0.25,0.375,0.625,0.875,8.0
