ascending,descending,momentum_pct,reversion_pct,spike_acc,total_num
0.45098039215686275,0.5490196078431373,0.5098039215686274,0.49019607843137253,0.6862745098039216,51.0
0.46534653465346537,0.5346534653465347,0.5445544554455446,0.45544554455445546,0.7326732673267327,101.0
0.5425531914893617,0.4574468085106383,0.5212765957446809,0.4787234042553192,0.723404255319149,94.0
0.4943820224719101,0.5056179775280899,0.5280898876404494,0.47191011235955055,0.7415730337078652,89.0
0.5268817204301075,0.4731182795698925,0.44086021505376344,0.5591397849462365,0.8064516129032258,93.0
0.43137254901960786,0.5686274509803921,0.5294117647058824,0.47058823529411764,0.7549019607843137,102.0
0.5319148936170213,0.46808510638297873,0.5531914893617021,0.44680851063829785,0.7659574468085106,94.0
0.51,0.49,0.6,0.4,0.71,100.0
0.4752475247524752,0.5247524752475248,0.48514851485148514,0.5148514851485149,0.6435643564356436,101.0
0.5568181818181818,0.4431818181818182,0.5454545454545454,0.45454545454545453,0.7840909090909091,88.0
0.5652173913043478,0.43478260869565216,0.5869565217391305,0.41304347826086957,0.7282608695652174,92.0
0.47474747474747475,0.5252525252525253,0.494949494949495,0.5050505050505051,0.7777777777777778,99.0
